mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Motor gasoline,ESTO,16.03-16.04 Agriculture and fishing,07.01 Motor gasoline,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste non renewable,ESTO,16.03-16.04 Agriculture and fishing,16.04 Municipal solid waste (non-renewable),include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Municipal solid waste renewable,ESTO,16.03-16.04 Agriculture and fishing,16.03 Municipal solid waste (renewable),include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Natural gas,ESTO,16.03-16.04 Agriculture and fishing,08.01 Natural gas,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other biomass,ESTO,16.03-16.04 Agriculture and fishing,15.05 Other biomass,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other bituminous coal,ESTO,16.03-16.04 Agriculture and fishing,01.02 Other bituminous coal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Other recovered gases,ESTO,16.03-16.04 Agriculture and fishing,02.05 Other recovered gases,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Patent fuel,ESTO,16.03-16.04 Agriculture and fishing,02.06 Patent fuel,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Solar nonspecified,ESTO,16.03-16.04 Agriculture and fishing,12.99 Solar nonspecified,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,Agriculture and fishing,Sub bituminous coal,ESTO,16.03-16.04 Agriculture and fishing,01.03 Sub-bituminous coal,include,reserved_target_pair_absent_from_registry,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_esto,BOTH,LEAP,BKB and PB plants/BKB and PB plants,Blast furnace gas,ESTO,09.08.04 BKB/PB plants,02.04 Blast furnace gas,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
