mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,relationship_status,target_pair_registry_status
leap_to_esto,BOTH,LEAP,Buildings/Residential,Biogasoline,ESTO,16.02 Residential,16.05 Biogasoline,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Charcoal,ESTO,16.02 Residential,15.01 Fuelwood & woodwaste,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Charcoal,ESTO,16.02 Residential,15.03 Charcoal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Coke oven gas,ESTO,16.02 Residential,02.01 Coke oven coke,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Coke oven gas,ESTO,16.02 Residential,02.03 Coke oven gas,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Electricity,ESTO,16.02 Residential,17 Electricity,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuel oil,ESTO,16.02 Residential,07.07 Gas/diesel oil,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuel oil,ESTO,16.02 Residential,07.08 Fuel oil,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuelwood and woodwaste,ESTO,16.02 Residential,12.99 Solar nonspecified,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Fuelwood and woodwaste,ESTO,16.02 Residential,15.01 Fuelwood & woodwaste,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas and diesel oil,ESTO,16.02 Residential,07.06 Kerosene,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas and diesel oil,ESTO,16.02 Residential,07.07 Gas/diesel oil,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas works gas,ESTO,16.02 Residential,08.01 Natural gas,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Gas works gas,ESTO,16.02 Residential,08.03 Gas works gas,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Geothermal,ESTO,16.02 Residential,08.03 Gas works gas,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Geothermal,ESTO,16.02 Residential,11 Geothermal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Heat,ESTO,16.02 Residential,17 Electricity,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Heat,ESTO,16.02 Residential,18 Heat,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Kerosene,ESTO,16.02 Residential,07.06 Kerosene,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,LPG,ESTO,16.02 Residential,07.08 Fuel oil,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,LPG,ESTO,16.02 Residential,07.09 LPG,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Lignite,ESTO,16.02 Residential,01.04 Anthracite,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Lignite,ESTO,16.02 Residential,01.05 Lignite,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Motor gasoline,ESTO,16.02 Residential,02.08 BKB/PB,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Motor gasoline,ESTO,16.02 Residential,07.01 Motor gasoline,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Natural gas,ESTO,16.02 Residential,07.09 LPG,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Natural gas,ESTO,16.02 Residential,08.01 Natural gas,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Other biomass,ESTO,16.02 Residential,15.03 Charcoal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Other biomass,ESTO,16.02 Residential,15.05 Other biomass,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Other bituminous coal,ESTO,16.02 Residential,01.02 Other bituminous coal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Patent fuel,ESTO,16.02 Residential,02.06 Patent fuel,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat,ESTO,16.02 Residential,03 Peat,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat,ESTO,16.02 Residential,18 Heat,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat products,ESTO,16.02 Residential,03 Peat,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Peat products,ESTO,16.02 Residential,04 Peat products,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Solar nonspecified,ESTO,16.02 Residential,11 Geothermal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Solar nonspecified,ESTO,16.02 Residential,12.99 Solar nonspecified,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Sub bituminous coal,ESTO,16.02 Residential,01.02 Other bituminous coal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Residential,Sub bituminous coal,ESTO,16.02 Residential,01.03 Sub-bituminous coal,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Anthracite,ESTO,16.01 Commercial and public services,01.03 Sub-bituminous coal,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Anthracite,ESTO,16.01 Commercial and public services,01.04 Anthracite,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Aviation gasoline,ESTO,16.01 Commercial and public services,07.01 Motor gasoline,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Aviation gasoline,ESTO,16.01 Commercial and public services,07.02 Aviation gasoline,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,BKB and PB,ESTO,16.01 Commercial and public services,02.07 Coal tar,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,BKB and PB,ESTO,16.01 Commercial and public services,02.08 BKB/PB,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biodiesel,ESTO,16.01 Commercial and public services,16.05 Biogasoline,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biodiesel,ESTO,16.01 Commercial and public services,16.06 Biodiesel,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biogas,ESTO,16.01 Commercial and public services,15.05 Other biomass,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biogas,ESTO,16.01 Commercial and public services,16.01 Biogas,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biogasoline,ESTO,16.01 Commercial and public services,16.04 Municipal solid waste (non-renewable),extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Biogasoline,ESTO,16.01 Commercial and public services,16.05 Biogasoline,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Blast furnace gas,ESTO,16.01 Commercial and public services,02.03 Coke oven gas,extra_factorised_relationship,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Blast furnace gas,ESTO,16.01 Commercial and public services,02.04 Blast furnace gas,exact_relationship_match,data_valid
leap_to_esto,BOTH,LEAP,Buildings/Services,Charcoal,ESTO,16.01 Commercial and public services,15.01 Fuelwood & woodwaste,extra_factorised_relationship,data_valid
