mapping_name,source_sheet,workbook_row_number,source_system,source_flow,source_product,target_system,target_flow,target_product,target_pair_is_subtotal,comparison_scope,notes,diagnostic_reason
ninth_to_esto,ninth_pairs_to_esto_pairs,2370,NINTH,,,ESTO,06 Stock changes,15.05 Other biomass,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2371,NINTH,,,ESTO,06 Stock changes,16.01 Biogas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2372,NINTH,,,ESTO,06 Stock changes,16.05 Biogasoline,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2373,NINTH,,,ESTO,06 Stock changes,16.06 Biodiesel,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2374,NINTH,,,ESTO,06 Stock changes,16.07 Bio jet kerosene,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2377,NINTH,,,ESTO,09.06.03 Natural gas blending plants,07.03 Naphtha,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2378,NINTH,,,ESTO,09.06.03 Natural gas blending plants,07.08 Fuel oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2379,NINTH,,,ESTO,09.06.03 Natural gas blending plants,07.09 LPG,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2380,NINTH,,,ESTO,09.06.03 Natural gas blending plants,07.10 Refinery gas (not liquefied),False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2381,NINTH,,,ESTO,09.06.03 Natural gas blending plants,08.01 Natural gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2382,NINTH,,,ESTO,09.06.03 Natural gas blending plants,08.03 Gas works gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2383,NINTH,,,ESTO,09.06.03 Natural gas blending plants,16.01 Biogas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2384,NINTH,,,ESTO,09.06.04 Gas-to-liquids plants,07.06 Kerosene,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2385,NINTH,,,ESTO,09.06.04 Gas-to-liquids plants,07.07 Gas/diesel oil,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2386,NINTH,,,ESTO,09.06.04 Gas-to-liquids plants,07.09 LPG,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2387,NINTH,,,ESTO,09.06.04 Gas-to-liquids plants,07.17 Other products,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2388,NINTH,,,ESTO,09.06.04 Gas-to-liquids plants,08.01 Natural gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2389,NINTH,,,ESTO,09.08.01 Coke ovens,01.01 Coking coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2390,NINTH,,,ESTO,09.08.01 Coke ovens,01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2391,NINTH,,,ESTO,09.08.01 Coke ovens,01.03 Sub-bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2392,NINTH,,,ESTO,09.08.01 Coke ovens,01.04 Anthracite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2393,NINTH,,,ESTO,09.08.01 Coke ovens,02.01 Coke oven coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2394,NINTH,,,ESTO,09.08.01 Coke ovens,02.03 Coke oven gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2395,NINTH,,,ESTO,09.08.01 Coke ovens,02.07 Coal tar,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2396,NINTH,,,ESTO,09.08.01 Coke ovens,07.16 Petroleum coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2397,NINTH,,,ESTO,09.08.01 Coke ovens,07.17 Other products,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2398,NINTH,,,ESTO,09.08.01 Coke ovens,08.01 Natural gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2399,NINTH,,,ESTO,09.08.01 Coke ovens,16.02 Industrial waste,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2400,NINTH,,,ESTO,09.08.02 Blast furnaces,01.01 Coking coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2401,NINTH,,,ESTO,09.08.02 Blast furnaces,01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2402,NINTH,,,ESTO,09.08.02 Blast furnaces,02.01 Coke oven coke,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2403,NINTH,,,ESTO,09.08.02 Blast furnaces,02.03 Coke oven gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2404,NINTH,,,ESTO,09.08.02 Blast furnaces,02.04 Blast furnace gas,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2405,NINTH,,,ESTO,09.08.02 Blast furnaces,02.05 Other recovered gases,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2406,NINTH,,,ESTO,09.08.02 Blast furnaces,02.07 Coal tar,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2407,NINTH,,,ESTO,09.08.03 Patent fuel plants,01.04 Anthracite,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2408,NINTH,,,ESTO,09.08.03 Patent fuel plants,02.06 Patent fuel,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2409,NINTH,,,ESTO,09.08.04 BKB/PB plants,01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2410,NINTH,,,ESTO,09.08.04 BKB/PB plants,02.08 BKB/PB,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2411,NINTH,,,ESTO,09.08.05 Liquefaction (coal to oil),01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2412,NINTH,,,ESTO,09.08.05 Liquefaction (coal to oil),02.07 Coal tar,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2413,NINTH,,,ESTO,11 Statistical discrepancy,01.01 Coking coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2414,NINTH,,,ESTO,11 Statistical discrepancy,01.02 Other bituminous coal,False,BOTH,,active_pair_row_has_blank_key
ninth_to_esto,ninth_pairs_to_esto_pairs,2415,NINTH,,,ESTO,11 Statistical discrepancy,01.03 Sub-bituminous coal,False,BOTH,,active_pair_row_has_blank_key
