comparison_scope,target_system,target_pair,current_component_signature,compiled_component_signature,component_status
NINTH,NINTH,15_02_02_03_medium_truck::17_electricity,NINTH:NINTH:15_02_02_03_medium_truck::17_electricity|NINTH:NINTH:15_02_02_04_heavy_truck::17_electricity,NINTH:NINTH:15_02_02_03_medium_truck::17_electricity|NINTH:NINTH:15_02_02_04_heavy_truck::17_electricity,unchanged
NINTH,NINTH,15_02_02_04_01_diesel_engine::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_04_01_diesel_engine::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_04_01_diesel_engine::07_07_gas_diesel_oil,unchanged
NINTH,NINTH,15_02_02_04_01_diesel_engine::16_06_biodiesel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_06_biodiesel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_06_biodiesel,unchanged
NINTH,NINTH,15_02_02_04_01_diesel_engine::16_x_efuel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_x_efuel|NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_x_efuel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_x_efuel|NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_x_efuel,unchanged
NINTH,NINTH,15_02_02_04_02_gasoline_engine::07_01_motor_gasoline,NINTH:NINTH:15_02_02_04_02_gasoline_engine::07_01_motor_gasoline,NINTH:NINTH:15_02_02_04_02_gasoline_engine::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_02_04_02_gasoline_engine::16_05_biogasoline,NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_05_biogasoline,NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_02_04_02_gasoline_engine::16_x_efuel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_x_efuel|NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_x_efuel,NINTH:NINTH:15_02_02_04_01_diesel_engine::16_x_efuel|NINTH:NINTH:15_02_02_04_02_gasoline_engine::16_x_efuel,unchanged
NINTH,NINTH,15_02_02_04_03_battery_ev::17_electricity,NINTH:NINTH:15_02_02_04_03_battery_ev::17_electricity,NINTH:NINTH:15_02_02_04_03_battery_ev::17_electricity,unchanged
NINTH,NINTH,15_02_02_04_04_compressed_natual_gas::08_01_natural_gas,NINTH:NINTH:15_02_02_04_04_compressed_natual_gas::08_01_natural_gas,NINTH:NINTH:15_02_02_04_04_compressed_natual_gas::08_01_natural_gas,unchanged
NINTH,NINTH,15_02_02_04_07_liquified_petroleum_gas::07_09_lpg,NINTH:NINTH:15_02_02_04_07_liquified_petroleum_gas::07_09_lpg,NINTH:NINTH:15_02_02_04_07_liquified_petroleum_gas::07_09_lpg,unchanged
NINTH,NINTH,15_02_02_04_08_fuel_cell_ev::16_x_hydrogen,NINTH:NINTH:15_02_02_04_08_fuel_cell_ev::16_x_hydrogen,NINTH:NINTH:15_02_02_04_08_fuel_cell_ev::16_x_hydrogen,unchanged
NINTH,NINTH,15_02_02_04_09_lng::08_02_lng,NINTH:NINTH:15_02_02_04_09_lng::08_02_lng,NINTH:NINTH:15_02_02_04_09_lng::08_02_lng,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::07_01_motor_gasoline,NINTH:NINTH:15_02_02_03_medium_truck::07_01_motor_gasoline|NINTH:NINTH:15_02_02_04_heavy_truck::07_01_motor_gasoline,NINTH:NINTH:15_02_02_03_medium_truck::07_01_motor_gasoline|NINTH:NINTH:15_02_02_04_heavy_truck::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_03_medium_truck::07_07_gas_diesel_oil|NINTH:NINTH:15_02_02_04_heavy_truck::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_03_medium_truck::07_07_gas_diesel_oil|NINTH:NINTH:15_02_02_04_heavy_truck::07_07_gas_diesel_oil,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::07_09_lpg,NINTH:NINTH:15_02_02_03_medium_truck::07_09_lpg|NINTH:NINTH:15_02_02_04_heavy_truck::07_09_lpg,NINTH:NINTH:15_02_02_03_medium_truck::07_09_lpg|NINTH:NINTH:15_02_02_04_heavy_truck::07_09_lpg,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::08_01_natural_gas,NINTH:NINTH:15_02_02_03_medium_truck::08_01_natural_gas|NINTH:NINTH:15_02_02_04_heavy_truck::08_01_natural_gas,NINTH:NINTH:15_02_02_03_medium_truck::08_01_natural_gas|NINTH:NINTH:15_02_02_04_heavy_truck::08_01_natural_gas,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::16_01_biogas,NINTH:NINTH:15_02_02_03_medium_truck::16_01_biogas|NINTH:NINTH:15_02_02_04_heavy_truck::16_01_biogas,NINTH:NINTH:15_02_02_03_medium_truck::16_01_biogas|NINTH:NINTH:15_02_02_04_heavy_truck::16_01_biogas,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::16_05_biogasoline,NINTH:NINTH:15_02_02_03_medium_truck::16_05_biogasoline|NINTH:NINTH:15_02_02_04_heavy_truck::16_05_biogasoline,NINTH:NINTH:15_02_02_03_medium_truck::16_05_biogasoline|NINTH:NINTH:15_02_02_04_heavy_truck::16_05_biogasoline,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::16_06_biodiesel,NINTH:NINTH:15_02_02_03_medium_truck::16_06_biodiesel|NINTH:NINTH:15_02_02_04_heavy_truck::16_06_biodiesel,NINTH:NINTH:15_02_02_03_medium_truck::16_06_biodiesel|NINTH:NINTH:15_02_02_04_heavy_truck::16_06_biodiesel,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::16_x_efuel,NINTH:NINTH:15_02_02_03_medium_truck::16_x_efuel|NINTH:NINTH:15_02_02_04_heavy_truck::16_x_efuel,NINTH:NINTH:15_02_02_03_medium_truck::16_x_efuel|NINTH:NINTH:15_02_02_04_heavy_truck::16_x_efuel,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::16_x_hydrogen,NINTH:NINTH:15_02_02_03_medium_truck::16_x_hydrogen|NINTH:NINTH:15_02_02_04_heavy_truck::16_x_hydrogen,NINTH:NINTH:15_02_02_03_medium_truck::16_x_hydrogen|NINTH:NINTH:15_02_02_04_heavy_truck::16_x_hydrogen,unchanged
NINTH,NINTH,15_02_02_04_heavy_truck::17_electricity,NINTH:NINTH:15_02_02_03_medium_truck::17_electricity|NINTH:NINTH:15_02_02_04_heavy_truck::17_electricity,NINTH:NINTH:15_02_02_03_medium_truck::17_electricity|NINTH:NINTH:15_02_02_04_heavy_truck::17_electricity,unchanged
NINTH,NINTH,15_02_02_freight::07_01_motor_gasoline,NINTH:NINTH:15_02_02_freight::07_01_motor_gasoline,NINTH:NINTH:15_02_02_freight::07_01_motor_gasoline,unchanged
NINTH,NINTH,15_02_02_freight::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_freight::07_07_gas_diesel_oil,NINTH:NINTH:15_02_02_freight::07_07_gas_diesel_oil,unchanged
NINTH,NINTH,15_02_02_freight::07_09_lpg,NINTH:NINTH:15_02_02_freight::07_09_lpg,NINTH:NINTH:15_02_02_freight::07_09_lpg,unchanged
NINTH,NINTH,15_02_02_freight::08_01_natural_gas,NINTH:NINTH:15_02_02_freight::08_01_natural_gas,NINTH:NINTH:15_02_02_freight::08_01_natural_gas,unchanged
