comparison_scope,target_system,target_pair,current_component_signature,compiled_component_signature,component_status
BOTH,ESTO,01 Production::01.01 Coking coal,BOTH:ESTO:01 Production::01.01 Coking coal,BOTH:ESTO:01 Production::01.01 Coking coal,unchanged
BOTH,ESTO,01 Production::01.02 Other bituminous coal,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.03 Sub-bituminous coal,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,BOTH:ESTO:01 Production::01.02 Other bituminous coal|BOTH:ESTO:01 Production::01.03 Sub-bituminous coal|BOTH:ESTO:01 Production::01.04 Anthracite,unchanged
BOTH,ESTO,01 Production::01.05 Lignite,BOTH:ESTO:01 Production::01.05 Lignite,BOTH:ESTO:01 Production::01.05 Lignite,unchanged
BOTH,ESTO,01 Production::01.99 Coal nonspecified,BOTH:ESTO:01 Production::01.99 Coal nonspecified,BOTH:ESTO:01 Production::01.99 Coal nonspecified,unchanged
BOTH,ESTO,01 Production::02.01 Coke oven coke,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.02 Gas coke,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.03 Coke oven gas,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.04 Blast furnace gas,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.05 Other recovered gases,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.06 Patent fuel,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.07 Coal tar,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,BOTH:ESTO:01 Production::02.01 Coke oven coke|BOTH:ESTO:01 Production::02.02 Gas coke|BOTH:ESTO:01 Production::02.03 Coke oven gas|BOTH:ESTO:01 Production::02.04 Blast furnace gas|BOTH:ESTO:01 Production::02.05 Other recovered gases|BOTH:ESTO:01 Production::02.06 Patent fuel|BOTH:ESTO:01 Production::02.07 Coal tar|BOTH:ESTO:01 Production::02.08 BKB/PB,unchanged
BOTH,ESTO,01 Production::03 Peat,BOTH:ESTO:01 Production::03 Peat,BOTH:ESTO:01 Production::03 Peat,unchanged
BOTH,ESTO,01 Production::04 Peat products,BOTH:ESTO:01 Production::04 Peat products,BOTH:ESTO:01 Production::04 Peat products,unchanged
BOTH,ESTO,01 Production::05 Oil shale and oil sands,BOTH:ESTO:01 Production::05 Oil shale and oil sands,BOTH:ESTO:01 Production::05 Oil shale and oil sands,unchanged
BOTH,ESTO,01 Production::06.01 Crude oil,BOTH:ESTO:01 Production::06.01 Crude oil,BOTH:ESTO:01 Production::06.01 Crude oil,unchanged
BOTH,ESTO,01 Production::06.02 Natural gas liquids,BOTH:ESTO:01 Production::06.02 Natural gas liquids,BOTH:ESTO:01 Production::06.02 Natural gas liquids,unchanged
BOTH,ESTO,01 Production::06.03 Refinery feedstocks,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::06.04 Additives/ oxygenates,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,BOTH:ESTO:01 Production::06.03 Refinery feedstocks|BOTH:ESTO:01 Production::06.04 Additives/ oxygenates|BOTH:ESTO:01 Production::06.05 Other hydrocarbons,unchanged
BOTH,ESTO,01 Production::07.01 Motor gasoline,BOTH:ESTO:01 Production::07.01 Motor gasoline,BOTH:ESTO:01 Production::07.01 Motor gasoline,unchanged
BOTH,ESTO,01 Production::07.02 Aviation gasoline,BOTH:ESTO:01 Production::07.02 Aviation gasoline,BOTH:ESTO:01 Production::07.02 Aviation gasoline,unchanged
BOTH,ESTO,01 Production::07.03 Naphtha,BOTH:ESTO:01 Production::07.03 Naphtha,BOTH:ESTO:01 Production::07.03 Naphtha,unchanged
BOTH,ESTO,01 Production::07.04 Gasoline type jet fuel,BOTH:ESTO:01 Production::07.04 Gasoline type jet fuel|BOTH:ESTO:01 Production::07.05 Kerosene type jet fuel,BOTH:ESTO:01 Production::07.04 Gasoline type jet fuel|BOTH:ESTO:01 Production::07.05 Kerosene type jet fuel,unchanged
BOTH,ESTO,01 Production::07.05 Kerosene type jet fuel,BOTH:ESTO:01 Production::07.04 Gasoline type jet fuel|BOTH:ESTO:01 Production::07.05 Kerosene type jet fuel,BOTH:ESTO:01 Production::07.04 Gasoline type jet fuel|BOTH:ESTO:01 Production::07.05 Kerosene type jet fuel,unchanged
BOTH,ESTO,01 Production::07.06 Kerosene,BOTH:ESTO:01 Production::07.06 Kerosene,BOTH:ESTO:01 Production::07.06 Kerosene,unchanged
BOTH,ESTO,01 Production::07.07 Gas/diesel oil,BOTH:ESTO:01 Production::07.07 Gas/diesel oil,BOTH:ESTO:01 Production::07.07 Gas/diesel oil,unchanged
BOTH,ESTO,01 Production::07.08 Fuel oil,BOTH:ESTO:01 Production::07.08 Fuel oil,BOTH:ESTO:01 Production::07.08 Fuel oil,unchanged
BOTH,ESTO,01 Production::07.09 LPG,BOTH:ESTO:01 Production::07.09 LPG,BOTH:ESTO:01 Production::07.09 LPG,unchanged
BOTH,ESTO,01 Production::07.10 Refinery gas (not liquefied),BOTH:ESTO:01 Production::07.10 Refinery gas (not liquefied),BOTH:ESTO:01 Production::07.10 Refinery gas (not liquefied),unchanged
BOTH,ESTO,01 Production::07.11 Ethane,BOTH:ESTO:01 Production::07.11 Ethane,BOTH:ESTO:01 Production::07.11 Ethane,unchanged
BOTH,ESTO,01 Production::07.12 White spirit SBP,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.13 Lubricants,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.14 Bitumen,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.15 Paraffin waxes,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.16 Petroleum coke,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,BOTH:ESTO:01 Production::07.12 White spirit SBP|BOTH:ESTO:01 Production::07.13 Lubricants|BOTH:ESTO:01 Production::07.14 Bitumen|BOTH:ESTO:01 Production::07.15 Paraffin waxes|BOTH:ESTO:01 Production::07.16 Petroleum coke|BOTH:ESTO:01 Production::07.17 Other products,unchanged
BOTH,ESTO,01 Production::07.99 PetProd nonspecified,BOTH:ESTO:01 Production::07.99 PetProd nonspecified,BOTH:ESTO:01 Production::07.99 PetProd nonspecified,unchanged
BOTH,ESTO,01 Production::08.01 Natural gas,BOTH:ESTO:01 Production::08.01 Natural gas,BOTH:ESTO:01 Production::08.01 Natural gas,unchanged
BOTH,ESTO,01 Production::08.02 LNG,BOTH:ESTO:01 Production::08.02 LNG,BOTH:ESTO:01 Production::08.02 LNG,unchanged
BOTH,ESTO,01 Production::08.03 Gas works gas,BOTH:ESTO:01 Production::08.03 Gas works gas,BOTH:ESTO:01 Production::08.03 Gas works gas,unchanged
BOTH,ESTO,01 Production::08.99 Gas nonspecified,BOTH:ESTO:01 Production::08.99 Gas nonspecified,BOTH:ESTO:01 Production::08.99 Gas nonspecified,unchanged
BOTH,ESTO,01 Production::09 Nuclear,BOTH:ESTO:01 Production::09 Nuclear,BOTH:ESTO:01 Production::09 Nuclear,unchanged
BOTH,ESTO,01 Production::10 Hydro,BOTH:ESTO:01 Production::10 Hydro,BOTH:ESTO:01 Production::10 Hydro,unchanged
BOTH,ESTO,01 Production::11 Geothermal,BOTH:ESTO:01 Production::11 Geothermal,BOTH:ESTO:01 Production::11 Geothermal,unchanged
BOTH,ESTO,01 Production::12.01 of which: Photovoltaics,BOTH:ESTO:01 Production::12.01 of which: Photovoltaics,BOTH:ESTO:01 Production::12.01 of which: Photovoltaics,unchanged
BOTH,ESTO,01 Production::12.99 Solar nonspecified,BOTH:ESTO:01 Production::12.99 Solar nonspecified,BOTH:ESTO:01 Production::12.99 Solar nonspecified,unchanged
BOTH,ESTO,"01 Production::13 Tide, wave, ocean","BOTH:ESTO:01 Production::13 Tide, wave, ocean","BOTH:ESTO:01 Production::13 Tide, wave, ocean",unchanged
BOTH,ESTO,01 Production::14 Wind,BOTH:ESTO:01 Production::14 Wind,BOTH:ESTO:01 Production::14 Wind,unchanged
BOTH,ESTO,01 Production::15.01 Fuelwood & woodwaste,BOTH:ESTO:01 Production::15.01 Fuelwood & woodwaste,BOTH:ESTO:01 Production::15.01 Fuelwood & woodwaste,unchanged
BOTH,ESTO,01 Production::15.02 Bagasse,BOTH:ESTO:01 Production::15.02 Bagasse,BOTH:ESTO:01 Production::15.02 Bagasse,unchanged
BOTH,ESTO,01 Production::15.03 Charcoal,BOTH:ESTO:01 Production::15.03 Charcoal,BOTH:ESTO:01 Production::15.03 Charcoal,unchanged
BOTH,ESTO,01 Production::15.04 Black liquor,BOTH:ESTO:01 Production::15.04 Black liquor,BOTH:ESTO:01 Production::15.04 Black liquor,unchanged
BOTH,ESTO,01 Production::15.05 Other biomass,BOTH:ESTO:01 Production::15.05 Other biomass,BOTH:ESTO:01 Production::15.05 Other biomass,unchanged
BOTH,ESTO,01 Production::16.01 Biogas,BOTH:ESTO:01 Production::16.01 Biogas,BOTH:ESTO:01 Production::16.01 Biogas,unchanged
BOTH,ESTO,01 Production::16.02 Industrial waste,BOTH:ESTO:01 Production::16.02 Industrial waste,BOTH:ESTO:01 Production::16.02 Industrial waste,unchanged
BOTH,ESTO,01 Production::16.03 Municipal solid waste (renewable),BOTH:ESTO:01 Production::16.03 Municipal solid waste (renewable),BOTH:ESTO:01 Production::16.03 Municipal solid waste (renewable),unchanged
BOTH,ESTO,01 Production::16.04 Municipal solid waste (non-renewable),BOTH:ESTO:01 Production::16.04 Municipal solid waste (non-renewable),BOTH:ESTO:01 Production::16.04 Municipal solid waste (non-renewable),unchanged
BOTH,ESTO,01 Production::16.05 Biogasoline,BOTH:ESTO:01 Production::16.05 Biogasoline,BOTH:ESTO:01 Production::16.05 Biogasoline,unchanged
BOTH,ESTO,01 Production::16.06 Biodiesel,BOTH:ESTO:01 Production::16.06 Biodiesel,BOTH:ESTO:01 Production::16.06 Biodiesel,unchanged
BOTH,ESTO,01 Production::16.07 Bio jet kerosene,BOTH:ESTO:01 Production::16.07 Bio jet kerosene,BOTH:ESTO:01 Production::16.07 Bio jet kerosene,unchanged
BOTH,ESTO,01 Production::16.08 Other liquid biofuels,BOTH:ESTO:01 Production::16.08 Other liquid biofuels,BOTH:ESTO:01 Production::16.08 Other liquid biofuels,unchanged
BOTH,ESTO,01 Production::16.09 Other sources,BOTH:ESTO:01 Production::16.09 Other sources,BOTH:ESTO:01 Production::16.09 Other sources,unchanged
BOTH,ESTO,01 Production::16.10 Ammonia,BOTH:ESTO:01 Production::16.10 Ammonia,BOTH:ESTO:01 Production::16.10 Ammonia,unchanged
BOTH,ESTO,01 Production::16.11 E-fuel,BOTH:ESTO:01 Production::16.11 E-fuel,BOTH:ESTO:01 Production::16.11 E-fuel,unchanged
BOTH,ESTO,01 Production::16.12 Hydrogen,BOTH:ESTO:01 Production::16.12 Hydrogen,BOTH:ESTO:01 Production::16.12 Hydrogen,unchanged
BOTH,ESTO,01 Production::17 Electricity,BOTH:ESTO:01 Production::17 Electricity,BOTH:ESTO:01 Production::17 Electricity,unchanged
BOTH,ESTO,01 Production::18 Heat,BOTH:ESTO:01 Production::18 Heat,BOTH:ESTO:01 Production::18 Heat,unchanged
BOTH,ESTO,02 Imports::01.01 Coking coal,BOTH:ESTO:02 Imports::01.01 Coking coal,BOTH:ESTO:02 Imports::01.01 Coking coal,unchanged
BOTH,ESTO,02 Imports::01.02 Other bituminous coal,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,unchanged
BOTH,ESTO,02 Imports::01.03 Sub-bituminous coal,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,unchanged
BOTH,ESTO,02 Imports::01.04 Anthracite,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,BOTH:ESTO:02 Imports::01.02 Other bituminous coal|BOTH:ESTO:02 Imports::01.03 Sub-bituminous coal|BOTH:ESTO:02 Imports::01.04 Anthracite,unchanged
BOTH,ESTO,02 Imports::01.05 Lignite,BOTH:ESTO:02 Imports::01.05 Lignite,BOTH:ESTO:02 Imports::01.05 Lignite,unchanged
BOTH,ESTO,02 Imports::01.99 Coal nonspecified,BOTH:ESTO:02 Imports::01.99 Coal nonspecified,BOTH:ESTO:02 Imports::01.99 Coal nonspecified,unchanged
BOTH,ESTO,02 Imports::02.01 Coke oven coke,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,unchanged
BOTH,ESTO,02 Imports::02.02 Gas coke,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,unchanged
BOTH,ESTO,02 Imports::02.03 Coke oven gas,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,unchanged
BOTH,ESTO,02 Imports::02.04 Blast furnace gas,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,BOTH:ESTO:02 Imports::02.01 Coke oven coke|BOTH:ESTO:02 Imports::02.02 Gas coke|BOTH:ESTO:02 Imports::02.03 Coke oven gas|BOTH:ESTO:02 Imports::02.04 Blast furnace gas|BOTH:ESTO:02 Imports::02.05 Other recovered gases|BOTH:ESTO:02 Imports::02.06 Patent fuel|BOTH:ESTO:02 Imports::02.07 Coal tar|BOTH:ESTO:02 Imports::02.08 BKB/PB,unchanged
