rollup_group_id,rolled_esto_flow,source_flow,source_product,target_product,component_flows,base_component_statuses,extended_component_statuses,both_component_pairs_valid_in_at_least_one_esto_registry,prototype_semantics,source_delivery_rule
"power_process::09.01.02.05,09.02.02.05 Solid biomass CHP","09.01.02.05,09.02.02.05 Solid biomass CHP",CHP plants/Processes/Solid Biomass CHP,Biomass,15 Solid biomass,09.01.02.05 Solid biomass CHP|09.02.02.05 Solid biomass CHP,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Blast furnace gas,02.04 Blast furnace gas,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Coke oven coke,02.01 Coke oven coke,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Coke oven gas,02.03 Coke oven gas,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Electricity,17 Electricity,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Other bituminous coal,01.02 Other bituminous coal,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.01,09.02.03.01 Coal HP","09.01.03.01,09.02.03.01 Coal HP",Heat plants/Processes/Coal HP,Other recovered gases,02.05 Other recovered gases,09.01.03.01 Coal HP|09.02.03.01 Coal HP,absent|absent,data_valid|zero_only,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.02,09.02.03.02 Gas HP","09.01.03.02,09.02.03.02 Gas HP",Heat plants/Processes/Gas HP,Electricity,17 Electricity,09.01.03.02 Gas HP|09.02.03.02 Gas HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.02,09.02.03.02 Gas HP","09.01.03.02,09.02.03.02 Gas HP",Heat plants/Processes/Gas HP,Gas works gas,08.03 Gas works gas,09.01.03.02 Gas HP|09.02.03.02 Gas HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.02,09.02.03.02 Gas HP","09.01.03.02,09.02.03.02 Gas HP",Heat plants/Processes/Gas HP,Natural gas,08.01 Natural gas,09.01.03.02 Gas HP|09.02.03.02 Gas HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Biogas,16.01 Biogas,09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Electricity,17 Electricity,09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Gas works gas,08.03 Gas works gas,09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Industrial waste,16.02 Industrial waste,09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Municipal solid waste non renewable,16.04 Municipal solid waste (non-renewable),09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Municipal solid waste renewable,16.03 Municipal solid waste (renewable),09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.03,09.02.03.03 Others HP","09.01.03.03,09.02.03.03 Others HP",Heat plants/Processes/Others HP,Other biomass,15.05 Other biomass,09.01.03.03 Others HP|09.02.03.03 Others HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Electricity,17 Electricity,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Fuel oil,07.08 Fuel oil,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Gas and diesel oil,07.07 Gas/diesel oil,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Kerosene,07.06 Kerosene,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,LPG,07.09 LPG,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Other products,07.17 Other products,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Petroleum coke,07.16 Petroleum coke,09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.04,09.02.03.04 Petroleum products HP","09.01.03.04,09.02.03.04 Petroleum products HP",Heat plants/Processes/Petroleum products HP,Refinery gas not liquefied,07.10 Refinery gas (not liquefied),09.01.03.04 Petroleum products HP|09.02.03.04 Petroleum products HP,absent|absent,data_valid|data_valid,True,recombine_to_common_row,deliver_once_after_component_recombination
"power_process::09.01.03.05,09.02.03.05 Solid biomass HP","09.01.03.05,09.02.03.05 Solid biomass HP",Heat plants/Processes/Solid biomass HP,Other biomass,15.05 Other biomass,09.01.03.05 Solid biomass HP|09.02.03.05 Solid biomass HP,absent|absent,absent|absent,False,recombine_to_common_row,deliver_once_after_component_recombination
