branch_path,template_support_count,template_files,explicit_fuel_leaf_path,pair_registry_role
Demand\All demand aggregated\Buildings\Biogas,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Biogasoline,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Blast furnace gas,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Charcoal,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Coal tar,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Coke oven coke,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Coke oven gas,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Electricity,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Fuel oil,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
Demand\All demand aggregated\Buildings\Fuelwood and woodwaste,11,AUS clean slate 28_07.xlsx|BD clean slate 28_07.xlsx|MAS clean slate 28_07.xlsx|MEX clean slate 28_07.xlsx|NZ clean slate 27_07.xlsx|PHL clean slate 28_07.xlsx|PNG clean slate 28_07.xlsx|PRC clean slate 28_07.xlsx|THA clean slate 28_07.xlsx|USA clean slate 28_07.xlsx|VN clean slate 28_07.xlsx,False,branch_structure_only
